year,%GT Sum of next_year_energy_cons
1900,0.75%
1901,0.75%
1902,0.75%
1903,0.75%
1904,0.75%
1905,0.75%
1906,0.75%
1907,0.75%
1908,0.75%
1909,0.75%
1910,0.75%
1911,0.75%
1912,0.75%
1913,0.75%
1914,0.75%
1915,0.75%
1916,0.75%
1917,0.75%
1918,0.75%
1919,0.75%
1920,0.75%
1921,0.75%
1922,0.75%
1923,0.75%
1924,0.75%
1925,0.75%
1926,0.75%
1927,0.75%
1928,0.75%
1929,0.75%
1930,0.75%
1931,0.75%
1932,0.75%
1933,0.75%
1934,0.75%
1935,0.75%
1936,0.75%
1937,0.75%
1938,0.75%
1939,0.75%
1940,0.75%
1941,0.75%
1942,0.75%
1943,0.75%
1944,0.75%
1945,0.75%
1946,0.75%
1947,0.75%
1948,0.75%
1949,0.75%
1950,0.75%
1951,0.75%
1952,0.75%
1953,0.75%
1954,0.75%
1955,0.75%
1956,0.75%
1957,0.75%
1958,0.75%
1959,0.75%
1960,0.75%
1961,0.75%
1962,0.75%
1963,0.75%
1964,0.15%
1965,0.75%
1966,0.09%
1967,0.09%
1968,0.24%
1969,0.43%
1970,-0.04%
1971,0.13%
1972,0.24%
1973,0.15%
1974,0.29%
1975,0.47%
1976,0.27%
1977,0.55%
1978,0.32%
1979,0.47%
1980,0.27%
1981,0.76%
1982,-0.02%
1983,0.44%
1984,0.60%
1985,0.53%
1986,0.76%
1987,0.65%
1988,0.90%
1989,1.13%
1990,1.03%
1991,0.87%
1992,0.93%
1993,0.51%
1994,0.94%
1995,1.27%
1996,0.87%
1997,1.23%
1998,0.87%
1999,0.94%
2000,1.31%
2001,0.48%
2002,0.80%
2003,1.16%
2004,1.61%
2005,1.43%
2006,1.31%
2007,2.58%
2008,1.48%
2009,2.31%
2010,2.15%
2011,2.44%
2012,2.27%
2013,1.64%
2014,1.66%
2015,1.32%
2016,1.84%
2017,2.01%
2018,3.49%
2019,1.79%
2020,-3.34%
