year,Sum of energy_cons_change_twh,Sum of moving_avg_energy_cons
1900,154.939,164.5719
1901,154.939,161.81964285714287
1902,154.939,154.93900000000002
1903,154.939,154.93900000000002
1904,154.939,154.93900000000002
1905,154.939,154.93900000000002
1906,154.939,154.93900000000002
1907,154.939,154.93900000000002
1908,154.939,154.93900000000002
1909,154.939,154.93900000000002
1910,154.939,154.93900000000002
1911,154.939,154.93900000000002
1912,154.939,154.93900000000002
1913,154.939,154.93900000000002
1914,154.939,154.93900000000002
1915,154.939,154.93900000000002
1916,154.939,154.93900000000002
1917,154.939,154.93900000000002
1918,154.939,154.93900000000002
1919,154.939,154.93900000000002
1920,154.939,154.93900000000002
1921,154.939,154.93900000000002
1922,154.939,154.93900000000002
1923,154.939,154.93900000000002
1924,154.939,154.93900000000002
1925,154.939,154.93900000000002
1926,154.939,154.93900000000002
1927,154.939,154.93900000000002
1928,154.939,154.93900000000002
1929,154.939,154.93900000000002
1930,154.939,154.93900000000002
1931,154.939,154.93900000000002
1932,154.939,154.93900000000002
1933,154.939,154.93900000000002
1934,154.939,154.93900000000002
1935,154.939,154.93900000000002
1936,154.939,154.93900000000002
1937,154.939,154.93900000000002
1938,154.939,154.93900000000002
1939,154.939,154.93900000000002
1940,154.939,154.93900000000002
1941,154.939,154.93900000000002
1942,154.939,154.93900000000002
1943,154.939,154.93900000000002
1944,154.939,154.93900000000002
1945,154.939,154.93900000000002
1946,154.939,154.93900000000002
1947,154.939,154.93900000000002
1948,154.939,154.93900000000002
1949,154.939,154.93900000000002
1950,154.939,154.93900000000002
1951,154.939,154.93900000000002
1952,154.939,154.93900000000002
1953,154.939,154.93900000000002
1954,154.939,154.93900000000002
1955,154.939,154.93900000000002
1956,154.939,154.93900000000002
1957,154.939,154.93900000000002
1958,154.939,154.93900000000002
1959,154.939,154.93900000000002
1960,154.939,154.93900000000002
1961,154.939,154.93900000000002
1962,154.939,154.93900000000002
1963,154.939,137.08100000000002
1964,154.939,132.9842857142857
1965,155.567,124.74385714285715
1966,18.464,61.87114285714286
1967,18.462,26.837000000000003
1968,50.8,50.19314285714286
1969,87.188,49.44714285714286
1970,-8.322,31.303285714285717
1971,26.457,22.911
1972,48.776,35.553000000000004
1973,33.192,44.54271428571428
1974,59.241,59.53528571428571
1975,95.587,73.994
1976,55.695,80.1352857142857
1977,113.014,80.77571428571429
1978,65.308,90.92342857142856
1979,97.708,76.855
1980,55.102,97.39642857142857
1981,156.292,83.25228571428573
1982,-4.834,69.13142857142857
1983,89.868,69.64
1984,124.988,109.29714285714286
1985,107.553,124.26828571428571
1986,156.073,135.8451428571429
1987,134.248,157.77814285714285
1988,185.776,180.837
1989,233.754,209.67557142857143
1990,212.999,208.67685714285713
1991,176.953,190.23314285714287
1992,191.216,164.3112857142857
1993,105.354,156.39557142857143
1994,192.567,185.37428571428572
1995,260.916,217.4792857142857
1996,179.297,219.49457142857142
1997,251.449,221.14657142857146
1998,179.058,202.58485714285712
1999,193.662,196.31971428571427
2000,271.601,200.73385714285712
2001,98.017,173.81057142857142
2002,166.298,164.58928571428572
2003,237.405,250.885
2004,331.579,302.2972857142857
2005,290.769,292.3067142857143
2006,268.125,338.134
2007,525.059,396.29871428571425
2008,316.409,427.6564285714285
2009,476.001,396.9081428571428
2010,442.783,458.77085714285715
2011,501.867,479.60785714285714
2012,465.883,450.1602857142858
2013,339.979,415.111
2014,340.093,327.2792857142857
2015,272.891,296.7148571428571
2016,375.896,348.9122857142857
2017,415.142,471.6738571428572
2018,722.93,521.607
2019,368.581,194.40385714285716
2020,-816.888,-205.16897619047614
2021,125.634,-172.81349999999998
